question,label
¿Cuándo me debo recategorizar?,temporal
¿Cada cuánto tiempo hay que recategorizarse?,temporal
¿En qué tiempo se debe realizarse la recategorización?,temporal
¿En qué momento se debe realizarse la recategorización?,temporal
¿A partir de cuándo se puede llevar a cabo la recategorización?,temporal
¿En qué tiempo se puede llevar a cabo la recategorización?,temporal
¿En qué momento se puede llevar a cabo la recategorización?,temporal
Si me recategorizo ¿Cuándo empiezo a pagar el nuevo importe?,temporal
¿A partir de qué momento comienzo a pagar el nuevo importe una vez que me recategorizo?,temporal
Luego de la recategorización ¿Desde cuándo pago el importe de la nueva categoría?,temporal
Un sujeto recategorizado ¿En qué momento se empieza a pagar el importe de la nueva categoría?,temporal
¿En qué momento se empieza a pagar el importe de la nueva categoría para las personas recategorizadas?,temporal
¿En qué tiempo se comienza a pagar el importe de la nueva categoría para las personas recategorizadas?,temporal
"Una vez efectuada la recategorización, ¿En qué momento se comienza a pagar el importe de la nueva categoría?",temporal
"Para el caso de un sujeto recategorizado, ¿En qué tiempo se comienza abonar la nueva categoría?",temporal
"Si me recategorizan de oficio, ¿A partir de cuándo paso a la nueva categoría?",temporal
¿Desde qué fecha tienen vigencia mi nueva categoría en caso de recategorización de oficio?,temporal
"¿La fecha de entrada en vigencia de mi nueva categoría, a raíz de una recategorización de oficio, es la misma que si yo me hubiera recategorizado correctamente?",temporal
¿Cuándo se producen efectos de la recategorización de oficio?,temporal
¿En qué momento se producen efectos de la recategorización de oficio?,temporal
¿En qué momento se producen cambios de la recategorización de oficio?,temporal
¿En qué tiempo se producen efectos de la recategorización de oficio?,temporal
¿A partir de cuándo producen consecuencias de la recategorización de oficio?,temporal
"En el caso de una persona que se adhiere al Monotributo porque realiza una actividad por única vez, ¿Cuánto tiempo mínimo de permanencia se debe cumplir antes de realizar la baja del mismo?",temporal
"En el caso de una persona que realiza una actividad temporaria, ¿Qué tiempo mínimo de permanencia se debe cumplir antes de realizar la baja del Monotributo?",temporal
¿Cuál es el tiempo mínimo de permanencia que se debe cumplir antes de realizar la baja del Monotributo de una persona que realiza una actividad por única vez?,temporal
"Si se tiene el caso de una persona que realiza una actividad temporaria, ¿Cuánto tiempo mínimo de permanencia se debe cumplir antes de realizar la baja del mismo?",temporal
"Si soy responsable inscripto en iva, ¿cuánto tiempo debo esperar para poder volver a ser monotributista?",temporal
¿Cuando debo pasar a responsable inscripto en IVA si superé el máximo previsto por el regimen?,temporal
¿Cuántos meses deben pasar desde que me inscribí en el Monotributo para anualizar los ingresos?,temporal
"Soy monotributista y en la anualización he superado el máximo, ¿Cuándo debo pasar a ser responsable inscripto?",temporal
¿Cuándo tengo que pagar la primer cuota del monotributo?,temporal
¿Cuándo debo pagar la 1era cuota?,temporal
"Me he adherido al monotributo, ¿cuando pago la cuota 1?",temporal
¿Cuándo pago el primer mes de monotributo?,temporal
¿Cuándo vence el monotributo?,temporal
¿Cuándo tengo que pagar el mes de monotributo?,temporal
¿Qué día vence el monotributo?,temporal
Si me doy de baja en el monotributo ¿Desde cuándo tengo que dejar de pagar?,temporal
Si solicito la baja del monotributo ¿Cuándo cesa la obligación de pago?,temporal
Si dejo de ser monotributista ¿Cuándo debo dejar de pagar?,temporal
"Una vez que pedí la baja, ¿cuándo debo dejar de pagar?",temporal
"Ya he solicitado la baja, ¿cuándo finaliza la obligación de pago?",temporal
¿desde qué periodo ya no debo pagar una vez que pedí la baja?,temporal
"Pedí la baja en el monotributo, ¿a partir de que período cesa la obligación de pago?",temporal
¿En qué momento finaliza la obligación de pago del monotributo si ya inicié la baja?,temporal
¿Desde qué fecha es la información que figura en el servicio CCMA?,temporal
¿A partir de cuando figura la información en el servicio CCMA?,temporal
¿Desde cuando está la información en el CCMA?,temporal
¿A partir de qué fecha se puede encontrar información en el servicio CCMA?,temporal
¿Desde qué período está la información en el CCMA?,temporal
¿A partir de qué período encuentro información en el servicio CCMA?,temporal
¿Por cuánto tiempo tengo que guardar mis facturas?,temporal
¿Cuánto tiempo debo conservar los comprobantes y documentos?,temporal
¿Cuál es el tiempo máximo que debo guardar los comprobantes?,temporal
¿Es necesario que conserve todos los comprobantes?,temporal
"¿Cuántos años debo mantener los comprobantes, documentos y facturas?",temporal
¿Cuánto tiempo debo conservar los papeles de operaciones relacionadas a mi actividad?,temporal
"En caso de exclusión, ¿Cuánto tiempo se debe de aguardar para volver a adherirse al Monotributo?",temporal
En los casos de baja por renuncia ¿Cuánto tiempo se deberá esperar para volver al Régimen de Monotributo?,temporal
¿A partir de qué momento tiene efectos la cancelación de la inscripción por cese de actividad o renuncia?,temporal
¿A partir de qué momento tiene efectos la baja por exclusión?,temporal
¿A partir de cuándo tiene efectos la adhesión por el monotributo?,temporal
¿Cuándo se debe realizar el primer pago en caso de inicio de actividades?,temporal
¿Cuando debe realizarse la recategorización?,temporal
"Una vez realizada la recategorización, ¿Cuándo se empieza a pagar el importe de la nueva categoría?",temporal
¿A partir de cuándo produce efectos la recategorización de oficio?,temporal
"Una persona que inicia actividad inscribiéndose en el Monotributo, que a la finalización del semestre calendario, por aplicación de la anualización de sus ingresos, supera el máximo previsto por el régimen. ¿Cuándo debe pasar a responsable inscripto en IVA?",temporal
¿Cuándo se debe abonar la primera cuota en caso de adhesión al Monotributo?,temporal
¿Cuál es la fecha de vencimiento de la obligación?,temporal
"En caso de solicitar la baja en el régimen, ¿a partir de que período cesa la obligación de pago?",temporal
¿A partir de qué período figura la información en el servicio CCMA?,temporal
¿Por cuánto tiempo deben conservarse los comprobantes emitidos y recibidos?,temporal
¿Puedo darme de baje por el tiempo en que no realice la actividad luego darme de alta cuando la retome?,si_no
"Si dejo de trabajar por un tiempo, ¿puedo darme de baja y luego volver a darme de alta?",si_no
"¿Puedo dar de baja mi monotributo y transcurrido un período de tiempo, darme de alta nuevamente?",si_no
¿Es obligatorio seguir inscripto en el régimen si dejo de ejercer mi actividad?,si_no
¿Me tengo que dar de alta de nuevo si me doy de baja y luego retomo mi actividad?,si_no
¿Puedo suspender mi inscripción hasta que retome mi actividad?,si_no
¿Se puede interrumpir la inscripción del monotributo hasta que vuelva a ejercer mi actividad?,si_no
¿Puedo quedar excluido del Monotributo?,si_no
¿AFIP me puede excluir del Monotributo?,si_no
¿Puedo quedar fuera del Monotributo?,si_no
¿Me puedo volver a adherir si me di de baja?,si_no
"Si me di de baja el monotributo porque ya no realizaba la actividad, ¿Puedo volver a darme de alta nuevamente?",si_no
"Si me di de baja, ¿es posible darme de alta otra vez?",si_no
¿Me puedo dar de alta de nuevo si me había dado de baja por cese de actividad?,si_no
¿Me puedo adherir de nuevo al haberme dado de baja debido a la interrupción de mi actividad?,si_no
"Si dejé de ejercer mi actividad y me di de baja, luego cuando retome ¿me podré volverme a inscribir?",si_no
Si me paso a Responsable Incripto ¿puedo volver al Monotributo en cualquier momento?,si_no
Si renuncio al Monotributo para optar por otro régimen ¿Puedo volver al monotributo?,si_no
En caso de renunciar ¿puedo optar de nuevo por el monotributo?,si_no
¿Puedo volver a ser monotributista inmediatamente si renuncié para ser responsable inscripto?,si_no
¿Puedo volver a darme de alta en el Monotributo si me dieron la baja por falta de pago?,si_no
Si me dan de baja en el Monotributo ¿Puedo volver a darme de alta?,si_no
"Si me dieron de baja automáticamente, ¿me puedo dar de alta otra vez?",si_no
¿Me puedo adherir de nuevo al haberme dado de baja por falta de pago?,si_no
¿Es posible inscribirse al monotributo otra vez si me eliminaron por falta de pago?,si_no
Si paso de Monotributista a Responsable Inscripto ¿Puedo tomar el crédito fiscal?,si_no
¿Puedo computar el crédito fiscal siendo Monotributista y luego tomarlo si me paso a Responsable Inscripto?,si_no
Si ahora soy responsable inscripto ¿puedo tomar el crédito fiscal?,si_no
"Si ahora soy responsable inscripto habiendo sido monotributista, ¿es posible computar el crédito fiscal?",si_no
¿Es posible tomar crédito fiscal si paso de monotributista a responsable inscripto?,si_no
¿Se puede computar el crédito fiscal si ya no soy monotributista sino responsable inscripto?,si_no
¿Se computa el crédito fiscal al pasar de monotributista a responsable inscripto?,si_no
¿Existe la posibilidad de darme de baja del Monotributo con fecha de varios meses atrás?,si_no
¿Puedo darme de baja con retroactividad?,si_no
¿Me puedo dar de baja con fecha anterior a la actual?,si_no
¿Es posible darme de baja con una fecha anterior?,si_no
¿Se puede tramitar una baja con una fecha anterior?,si_no
¿El Monotributo es un impuesto?,si_no
¿Estoy obligado a pagar todos los conceptos del Monotributo?,si_no
"Soy profesional, ¿tengo que pagar la parte previsional del Monotributo?",si_no
¿Estoy exceptuado de pagar todos los conceptos del monotributo?,si_no
¿Debo tomar sólo una actividad como referencia para la categorización?,si_no
¿Debo considerar mis ingresos por la actividad que estoy inscripto en Monotributo y los que recibo por estar en relación de dependencia?,si_no
¿Siempre se tienen en cuenta todos los parámetros del Monotributo?,si_no
¿Es obligatorio tener en cuenta el parámetro de energía eléctrica?,si_no
¿El parámetro de la energía eléctrica se considera en la categorización de todas las actividades?,si_no
¿Siempre se tienen en cuenta todos los parámetros del Monotributo?,si_no
¿es obligatorio tener en cuenta el parámetro de superficie afectada?,si_no
El parámetro de superficie afectada ¿se tiene en cuenta en todas las actividades?,si_no
Si realizo más de una actividad ¿Se consideran todas por igual?,si_no
Si realizo más de una actividad ¿Hay una que se considere más importante?,si_no
Si realizo varias actividades ¿debo declarar cuál es la principal?,si_no
¿Hay que establecer una actividad principal si se realizan varias?,si_no
¿Debo tener en cuenta los parámetros si realizo la actividad en mi casa?,si_no
¿Hay un límite de empleados que puedo tener siendo Monotributista?,si_no
¿Debo tener cierta cantidad de empleados de acuerdo a la categoría de monotributista que soy?,si_no
¿Hasta cuántos empleados puedo contratar?,si_no
¿Existe un límite en la cantidad de empleados según la categoría?,si_no
"Para calcular los alquileres devengados ¿Hay que tener en cuenta gastos como luz, gas o teléfono?",si_no
¿Hay que tener en cuenta los servicios como la luz y el gas para computar los alquileres devengados?,si_no
"¿Se deben evaluar los gastos de luz, gas y teléfono en los alquileres devengados?",si_no
¿Tengo que tener en cuenta la luz y el gas para determinar los alquileres devengados?,si_no
"¿Se consideran los gastos por servicio (como luz, gas, etc) para establecer los alquileres devengados?",si_no
"¿Es el mismo aporte el que realizo si soy monotributista por una actividad y el que realizo por ejercer la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
"¿Debo hacer algo en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
"¿Debo pagar aportes en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
Si fabrico y vendo un objeto por única vez ¿Debo categorizarme por esa actividad?,si_no
"Si estoy inscripta por brindar servicios, pero por única vez vendo un objeto  ¿Debo inscribirme en venta de cosas muebles?",si_no
¿Estar inscripto en servicios permite al menos una vez vende un bien mueble?,si_no
"Si no fabrico en serie, ¿debo categorizarme como venta de cosa mueble?",si_no
Si fabrico bienes personalizados ¿se considera como venta de cosa mueble?,si_no
¿Debo cambiar de categoría si brindo servicios pero de vez en cuando vendo algún objeto?,si_no
¿Hay un precio máximo unitario para venta de productos?,si_no
¿Existe un límite en el precio de los bienes que vendo para ser Monotributista?,si_no
Si soy monotributista ¿tengo un tope en el precio máximo por unidad de venta?,si_no
¿Hay un tope máximo en el precio por unidad?,si_no
Cuando se vende ¿existe un precio máximo unitario a tener en cuenta?,si_no
¿Hay un límite superior para la venta de productos por unidad?,si_no
¿Existe algún impedimento para realizar importaciones si soy Monotributista?,si_no
¿Puedo vender bienes del exterior en Argentina?,si_no
Antes de inscribirme en el monotributo ¿Puedo haber realizado importaciones?,si_no
Si soy monotributista ¿puedo importar bienes?,si_no
¿Es posible hacer importaciones siendo monotributista?,si_no
¿Puedo traer productos del extranjero para vender?,si_no
¿Se aplica  la alícuota del 27% en las facturas de servicios públicos a los Monotributistas?,si_no
¿Existe una alícuota diferencial en los servicios públicos para los Monotributistas?,si_no
"Si soy monotributista, ¿se me aplica la alicuota del 27 porciento en los servicios públicos?",si_no
¿Es aplicable la alicuota del veintisiete porciento en los servicios públicos para los monotributistas?,si_no
¿Resulta aplicable la alícuota del 27% para las prestaciones de servicios públicos recibidas por los monotributistas?,si_no
La alícuota del 27% en los servicios públicos ¿se aplica para los monotributistas?,si_no
¿Siendo monotributista se me imputa la alicuota del 27% en las facturas de los servicios públicos?,si_no
¿Es lo mismo unidad de explotación que actividad económica?,si_no
¿Se debe contabilizar de la misma forma las unidades económicas y las actividades económicas?,si_no
¿Se computan de la misma forma tanto las unidades como las actividades económicas?,si_no
Si paso de Responsable Inscripto a Monotributista ¿Puedo computar las cargas de familias?,si_no
¿Se computan las cargas de familia si dejo de ser responsable inscripto y ahora soy monotributista?,si_no
Si antes era responsable inscripto y ahora soy monotributista ¿debo calcular las cargas de familias?,si_no
¿Son computables las cargas de familias al pasar a ser monotributista?,si_no
Si paso de Responsable Inscripto a Monotributista ¿Puedo computar el crédito fiscal?,si_no
"Si estoy en condiciones para optar por el monotributo siendo responsable inscripto, ¿debo devolver el crédito fiscal?",si_no
Al pasar de responsable inscripto a monotributista ¿se reintegra el crédito fiscal?,si_no
¿Es lo mismo a efectos del crédito fiscal ser Resposable Inscripto o Monotributista?,si_no
Si soy Monotributista ¿Puedo tomar el crédito fiscal?,si_no
¿Estoy obligado a pagar IVA siendo Monotributista?,si_no
"En cuanto al pago del iva, ¿me corresponde pagar si soy monotributista?",si_no
¿Pago el IVA si soy monotributista?,si_no
En caso de ser monotributista ¿tengo que pagar el impuesto al valor agregado?,si_no
Si ahora soy monotributista ¿comienzo a pagar iva?,si_no
"Si agrego una actividad nueva al monotributo, ¿se verán modificados los anticipos por ganancias que pago por otra actividad?",si_no
¿Puedo delegar el trámite de solicitud de CUIT?,si_no
Para generar el CUIT ¿Puede hacerlo otra persona en mi nombre?,si_no
¿Puede un tercero generar mi CUIT?,si_no
¿La solicitud del CUIT es un trámite personal?,si_no
¿Es necesario que vaya el titular para sacar el CUIT?,si_no
¿Puede ir otra persona a sacarme el CUIT?,si_no
¿Para sacar el CUIT tengo que ir personalmente?,si_no
¿Para sacar el CUIT puede ir alguien más a sacármelo?,si_no
¿Tengo que ir yo necesariamente a hacer el trámite para obtener el CUIT?,si_no
¿Puede ir otra persona en mi nombre a hacer el trámite para obtener el CUIT?,si_no
¿Necesito llevar documentación personal para sacar mi CUIT?,si_no
¿Debo realizar algún trámite previo a la solicitud de CUIT de manera personal?,si_no
¿Es necesario concurrir con el DNI para la solicitud de CUIT de forma presencial?,si_no
"Para obtener el CUIT, ¿debo presentar algo?",si_no
¿Debo llevar algo más que mi DNI para tramitar el CUIT?,si_no
"Una sociedad, con o sin fines de lucro ¿Puede inscribirse en el monotributo?",si_no
¿Pueden adherirse al Monotributo las SA?,si_no
¿Pueden adherirse al Monotributo las SRL?,si_no
¿Cualquier tipo de sociedad se puede inscribir en el Monotributo?,si_no
¿Puedo anotar a una sociedad al monotributo?,si_no
"Si tengo una SA, ¿la puedo inscribir en el monotributo?",si_no
¿Puedo inscribir mi SRL al monotributo?,si_no
"¿Si una sociedad con fines de lucro quiere sumarse al monotributo, puede?",si_no
¿Es permitido que una sociedad se inscriba en el monotributo?,si_no
Si soy extranjero y no poseo DNI ¿Puedo inscribirme en el Monotributo?,si_no
¿El pasaporte es suficiente para inscribirme en el Monotributo en caso de ser extranjero?,si_no
¿Puedo inscribirme en el monotributo siendo extranjero?,si_no
"Soy extranjero, llevo viviendo mucho tiempo acá pero no tengo DNI, ¿puedo inscribirme en el monotributo?",si_no
¿Un extranjero puede solicitar el CUIT para monotributo?,si_no
¿Un extranjero puede solicitar el CUIT para monotributo si no tiene DNI?,si_no
¿Puede alguien nacido en el exterior solicitar el monotributo sin tener DNI?,si_no
¿Puedo ser Monotributista y a su vez ser sujeto IVA exento?,si_no
¿Existe un Monotributista que también esté exento en IVA?,si_no
Un sujeto IVA exento ¿Puede ser Monotributista?,si_no
¿Si soy monotributista puedo realizar otra actividad bajo la condición de IVA exento?,si_no
¿Un monotributista puede ser además IVA exento?,si_no
"Si quiero realizar una actividad IVA exento, ¿es necesario que no sea monotributista?",si_no
¿Es compatible ser un sujeto monotributista y al mismo tiempo un sujeto IVA exento?,si_no
¿Se puede tener un monotributo y ser IVA exento a la vez?,si_no
¿Es lo mismo domicilio fiscal que real?,si_no
¿Domicilio fiscal es el lugar donde vivo?,si_no
¿Domicilio fiscal es el lugar donde realizado mi actividad comercial?,si_no
¿Puede ser el domicilio fiscal igual que el domicilio real?,si_no
"Si no tengo lugar fijo para mi comercio, ¿puedo poner como domicilio fiscal el domicilio donde vivo?",si_no
¿Debo tener sí o sí un domicilio fiscal?,si_no
"Si mi local es alquilado, ¿debo presentar el contrato de alquiler para mostrar que será el domicilio fiscal?",si_no
¿Debo hacer algún trámite para demostrar mi domicilio fiscal cuando no es el lugar donde vivo?,si_no
¿La inscripción al Monotributo es online?,si_no
"¿Para ser monostributista, debo hacer una inscripción online?",si_no
¿Todo monotributista debe inscribirse en el domicilio fiscal electrónico?,si_no
¿Los monotributistas sociales deben adherirse al domicilio fiscal electrónico?,si_no
"Si soy monotributista, ¿sí o sí debo inscribirme al domicilio fiscal electrónico?",si_no
¿Es obligatorio para todo monotributista estar inscripto en el domicilio fiscal electrónico?,si_no
¿Existe algún tipo de monotributo que no tenga que estar adherido al domicilio fiscal electrónico?,si_no
¿Es posible que un condómino se inscriba en el monotributo?,si_no
¿Puede un condominio ser Monotributista?,si_no
¿Existe un tratamiento especial para los condominios?,si_no
¿Los condóminos pueden ser Monotributistas?,si_no
¿Los condominios pueden inscribirse en el monotributo?,si_no
¿Los condominios tienen un trato especial para adherirse al monotributo?,si_no
¿Se pueden adherir individualmente al monotributo cada condómino de un condominio?,si_no
¿Es compatible un condominio con el monotributo?,si_no
¿Todos los monotributistas deben realizar aportes de jubilación?,si_no
¿Debo seleccionar una opción para aportes de jubilación?,si_no
"¿Debo poner un ""cero"" en los parámetros cuando por mi actividad no debo tenerlos en cuenta?",si_no
"En los campos en los que no es necesario contestar, ¿debo poner algo?",si_no
¿Puedo inscribirme en el Monotributo retroactivamente?,si_no
¿Puedo inscribirme en el Monotributo hoy pero darle inicio el mes que viene?,si_no
¿Si me adhiero al monotributo ya soy monotributista?,si_no
¿Es posible hacer la inscripción al monotributo pero no empezar las actividades aún? ,si_no
"Una vez inscripto, ¿ya tiene efecto el monotributo?",si_no
¿Las sucesiones indivisas deben hacer aportes jubilatorios?,si_no
¿Deben abonar algo las sucesiones indivisas que son monotributistas?,si_no
¿Las sucesiones indivisas monotributistas deben abonar algo más que el componente impositivo?,si_no
¿Puedo inscribirme online en caso de ser asociado a Cooperativa de Trabajo?,si_no
"Siendo asociado a cooperativas de trabajo, ¿me puedo inscribir a un monotributo?",si_no
¿Un asociado a cooperativas de trabajo puede adherirse al monotributo?,si_no
¿Me puedo dar de alta al monotributo estando asociado a una cooperativa de trabajo?,si_no
¿El mismo mes en que me inscribo debo pagar?,si_no
¿Debo pagar el monotributo el día en que me doy de alta?,si_no
¿Debo pagar en el primer mes de haber iniciado las actividades del monotributo?,si_no
¿Puedo obtener la credencial de pago en la página de AFIP?,si_no
¿Puedo descargar la credencial de pago?,si_no
¿puedo obtener mi credencial de pago con una clave fiscal de cualquier nivel?,si_no
¿Código único de revista es lo mismo que CUR?,si_no
¿El CUR es igual para todos los Monotributistas?,si_no
¿Se puede cambiar el código CUR?,si_no
¿Debo dar de baja al impuesto a las ganancias si me transfiero de responsable inscripto a monotributista?,si_no
Como Monotribustita ¿Puedo utilizar el saldo a favor que tenía de cuando era Responsable Inscripto?,si_no
¿Se me puede devolver el saldo a favor de retenciones que tenía siendo responsable inscripto y ahora monotributista?,si_no
¿Se pierde el saldo a favor que tengo como responsable inscripto una vez me cambie al monotributo?,si_no
¿En la parte de monotributo puedo cambiar mi dirección fiscal?,si_no
¿Puedo obtener algunos comprobantes electrónicos en la parte de monotributo?,si_no
¿Puedo darme alta como empleador en la parte de monotributo?,si_no
¿Puedo ser Monotributista si obtengo ingresos por locación de inmuebles en el exterior?,si_no
Los monotributistas adheridos por locación de inmuebles ¿Deben serlo por inmuebles situados en Argentina solamente?,si_no
¿Debo cumplir con algún requisito específico para ser Monotributista con ingresos por locación de inmuebles situadios en el exterior?,si_no
"Si tengo inmuebles alquilados en el exterior, ¿puedo ser monotributista con esos ingresos?",si_no
"Si una persona tiene como ingreso el alquiler de inmuebles en el exterior, ¿puede inscribirse en el monotributo?",si_no
¿Puede una persona adherirse al monotributo si su ingreso depende del alquiler de inmuebles fuera de Argentina?,si_no
"Un propietario de inmuebles en el exterior cuyo ingreso depende del alquiler de los mismos, ¿puede ser monotributista?",si_no
"Si vivo en Argentina pero tengo como ingreso el alquiler de una propiedad en el exterior, ¿puedo inscribirme en el monotributo?",si_no
Si realizo algunos cambios en el Monotributo ¿Cambia también la credencial de pago?,si_no
"Si cambio de obra social, ¿se necesitará cambiar la credencial de pago?",si_no
¿La sustitución de la credencial de pago puede estar relacionada con las modificaciones en el CUR?,si_no
¿Puedo dar de baja a una persona de la Obra Social desde Mi Monotributo?,si_no
¿Puedo modificar datos de mis adherentes de la Obra Social desde la web de AFIP?,si_no
Si cambio mi actividad ¿Tengo que informarle a AFIP?,si_no
¿Debo informar cada vez que cambio de actividad?,si_no
Si comencé a ser empleado en relación de dependencia ¿Debo informarlo en mi Monotributo?,si_no
Si inicié una relación de dependencia ¿Debe realizar algún trámite mi empleador?,si_no
¿Debo modificar los datos de mi monotributo si comencé a trabajar en relación de dependencia?,si_no
¿Un monotributista debe cambiar de situación si ahora es empleado en relación de dependencia?,si_no
"Si tengo un monotributo, debo modificar los datos si quiero iniciar una relación de dependencia?",si_no
Si me jubilo y sigo con mi actividad ¿Debo informarlo en Mi Monotributo?,si_no
¿Cambia algo en mi Monotributo si me jubilo?,si_no
"Si una persona se jubila pero aún continúa con la actividad, ¿Debe cambiar algo en su monotributo?",si_no
¿Influye en mi monotributo si comienzo a aportar a una caja previsional provincial?,si_no
¿Debo modificar mi monotributo en caso de hacer aportes a una caja previsional de la provincia?,si_no
"Si empiezo a aportar en una caja previsional provincial, ¿tengo que informarlo en el monotributo?",si_no
¿Puedo hacer el cambio de obra social de manera online?,si_no
Para cambiar de obra social ¿una persona monotributista puede hacerlo desde la web?,si_no
¿Puedo agregar a un adherente a la obra social en cualquier momento?,si_no
¿Puedo incorporar un adherente a la obra social desde la web de AFIP?,si_no
¿Puedo incorporar gente a mi obra social?,si_no
¿Debo presentar algún formulario para notificar un cambio de domicilio?,si_no
¿Puedo volver a informar el cambio de domicilio si aún no recibí el código de confirmación?,si_no
¿El cambio de domicilio está concluido por más que no haya recibido un código de confirmación?,si_no
¿La recategorización se puede hacer de manera online?,si_no
¿Es obligatoria la recategorización?,si_no
¿Siempre debo recategorizarme?,si_no
¿Me puedo recategorizar cuando quiero?,si_no
¿Debo pasar a ser Responsable Inscripto si mi facturación de mi primer semetre de actividad supera el límite impuesto para la categoría más alta del Monotributo?,si_no
¿Puedo quedar excluido del Monotributo por superar los ingresos máximos establecidos por más que lleve menos un año como inscripto?,si_no
"Para el caso que transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿corresponde la inscripción en el Régimen General?",si_no
"¿Se puede inscribir en el Régimen General, si pasados un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima?",si_no
"Si pasados un semestre desde la inscripción y al anualizar  los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿Se permite la inscripción en el régimen general?",si_no
"En el caso que luego de 6 meses desde la inscripción y al anualizar los ingresos brutos para la recategorización, se pasa del límite de la categoría máxima, ¿Se puede inscribir en el régimen general?",si_no
