,IUCA,Texto,Etiqueta
520,64,¿Cómo es el trámite para informar que me jubilé?,procedimiento
521,64,¿Qué trámite debo hacer en mi monotributo si me he jubilado pero continúo en actividad?,procedimiento
522,64,¿Cómo informo sobre mi jubilación en mi monotributo?,procedimiento
523,64,Para continuar con la actividad y el monotributo habiéndome jubilado ¿cómo puedo hacerlo?,procedimiento
525,64,¿Cómo una persona debe modificar los datos de monotributo si ahora es jubilado?,procedimiento
526,65,¿Qué tengo que hacer si realizo aportes en una caja previsional de la provincia?,procedimiento
528,65,¿Cómo es el trámite para informar mis aportes a una caja previsioanl provincial?,procedimiento
531,65,¿Qué trámites tengo que hacer para informar a mi monotributo los aportes en una caja previsional provincial?,procedimiento
532,65,"Si estoy obligado a aportar en una caja previsional de la provincia, ¿cómo informo mi situación al monotributo?",procedimiento
533,65,¿Cómo modifico los datos del monotributo para indicar los aportes en una caja previsional provincial?,procedimiento
534,66,¿Qué trámite debo hacer si cambio mi obra social?,procedimiento
536,66,¿Qué documentación necesito para hacer el cambio de obra social?,procedimiento
537,66,¿Qué debo hacer para tramitar un cambio de obra social?,procedimiento
538,66,¿Qué tengo hacer si quiero cambiar de obra social?,procedimiento
539,66,¿Cómo puedo hacer para cambiar de obra social?,procedimiento
540,66,¿Cómo debe proceder un monotributista si desea cambiar de obra social?,procedimiento
543,67,¿Cómo es el trámite para añadir un adherente a la obra social?,procedimiento
545,67,¿Cómo puedo agregar a una persona a la obra social?,procedimiento
546,67,¿Qué debo hacer si quiero agregar a alguien a la obra social?,procedimiento
547,67,"Si quiero ingresar un integrante de mi familia a la obra social, ¿qué debo hacer?",procedimiento
549,67,¿Cómo puedo incorporar gente a mi obra social?,procedimiento
550,67,¿Cuáles son los requisitos para ingresar una persona a la obra social?,procedimiento
551,68,¿Cómo informo un cambio de domicilio?,procedimiento
552,68,¿El cambio de domicilio se realiza online?,procedimiento
554,68,¿De qué manera se modifica el domicilio ?,procedimiento
555,68,¿Cómo se puede cambiar el domicilio ?,procedimiento
556,68,¿Cómo se procede para cambiar la dirección?,procedimiento
557,68,¿Cómo se modifica la dirección?,procedimiento
558,68,¿De qué forma se modifica el domicilio ?,procedimiento
559,69,¿Qué pasa si transcurrieron 30 días desde que infromé el cambio de domicilio y aún no recibí el código de confirmación?,procedimiento
562,69,"¿Cómo seguir si pasados los 30 días de haber realizado el cambio del domicilio mediante el servicio ""Sistema Registral"", no se recibe el código de confirmación?",procedimiento
563,69,"¿Qué se debe hacer si pasados los 30 días de haber realizado el cambio del domicilio mediante el servicio ""Sistema Registral"", no se recibe el código de confirmación?",procedimiento
564,69,"Para el caso de una persona que realizó el cambio del domicilio mediante el servicio ""Sistema Registral"" y luego de 30 días, ¿Cómo se debe proceder si  no se recibe el código? ",procedimiento
565,69,"Si una persona llevó a cabo el cambio del domicilio mediante el servicio ""Sistema Registral"" y después de 30 días, ¿Qué se debe hacer si  no se recibe el código de confirmación?",procedimiento
566,69,"¿Cómo reclamar si pasados los 30 días de haber efectuado el cambio del domicilio a través el servicio ""Sistema Registral"", no se recibe el código de confirmación?",procedimiento
567,70,¿Cuáles son los pasos para recategorizarme? ,procedimiento
568,70,¿Cómo me recategorizo?,procedimiento
569,70,¿Cómo es el trámite de recategorización?,procedimiento
571,70,¿De qué manera se realiza la recategorización?,procedimiento
572,70,¿De qué forma se realiza la recategorización?,procedimiento
573,70,¿Cuáles son los pasos  para realizar la recategorización?,procedimiento
574,70,¿De qué manera se lleva a cabo la recategorización?,procedimiento
575,70,¿De qué forma se lleva a cabo la recategorización?,procedimiento
641,79,¿Qué pasa si me recategorizo de manera incorrecta?,procedimiento
643,79,¿Cuáles son las consecuencia de una recategorización errónea?,procedimiento
644,79,"Para el caso de recategorización inexacta, ¿Cuáles son las sanciones y  los pasos a seguir?",procedimiento
645,79,¿Qué tipo de sanción y el procedimiento a realizar en caso que la recategorización efectuada sea inexacta?,procedimiento
646,79,¿Qué penalidad y cómo se continuará  para el caso de una recategorización inexacta?,procedimiento
647,79,¿Qué sanción se aplicará y los pasos a seguir luego de una recategorización inexacta?,procedimiento
648,79,¿Cuál es la pena y el trámite a seguir  para el caso que la  recategorización realizada sea inregular?,procedimiento
706,87,¿Qué puedo hacer si no estoy de acuerdo con la recategorización de oficio?,procedimiento
707,87,¿Cuál es el trámite para expresar mi disconformidad con la recategorización de oficio?,procedimiento
708,87,¿Cuál es el trámite a seguir para el caso de disconformidad con la recategorización de oficio?,procedimiento
709,87,"Para el caso de disconformidad con la recategorización de oficio, ¿Cuáles son los procedimientos a seguir?",procedimiento
710,87,¿Qué trámite se debe efectuar para el caso  de disconformidad con la recategorización de oficio?,procedimiento
711,87,¿Cuál es el procedimiento a seguir  en caso de no estar conforme con la recategorización de oficio?,procedimiento
712,87,¿Cómo se tramita el rechazo de la recategorización de oficio?,procedimiento
713,88,¿De qué se trata una recategorización por fiscalización presencial?,procedimiento
714,88,¿Qué se tiene en cuenta para una recategorización por fiscalización presencial?,procedimiento
715,88,¿Cómo es el trámite en una recategorización por fiscalización presencial?,procedimiento
716,88,"En caso de una recategorización por fiscalización presencial, ¿Qué se deberá considerar?",procedimiento
717,88,¿Qué se deberá tener en cuenta ante una recategorización por fiscalización presencial?,procedimiento
718,88,¿Qué requisitos se tienen en cuenta para la recategorización por fiscalización presencial?,procedimiento
719,88,¿Qué consideraciones se realizan ante una recategorización por fiscalización presencial?,procedimiento
720,88,¿Cuáles son contemplaciones en caso de una recategorización por fiscalización presencial?,procedimiento
740,91,¿Cuáles son los pasos a seguir  para poder inscribirse en el Régimen de Monotributo?,procedimiento
743,91,¿Qié pasos se deben seguir  para poder inscribirse en el Régimen de Monotributo?,procedimiento
894,114,¿Cómo me debo inscribir en el monotributo como condómino?,procedimiento
895,114,¿Cómo me inscribo siendo condómino?,procedimiento
896,114,"Yo figuro como condómino, ¿Cómo me adhiero al monotributo?",procedimiento
897,114,¿Cuál es el trámite para darme de alta en el Monotributo siendo condómino?,procedimiento
898,114,¿Cuáles son los pasos para adherirme al Monotributo como condómino?,procedimiento
922,119,¿Cómo tengo que hacer si se venció mi monotributo y no lo pagué?,procedimiento
923,119,¿Cómo pago la diferencia que tengo en el monotributo?,procedimiento
924,119,¿Cómo pago vencido el mes de monotributo?,procedimiento
926,119,¿Cómo se pagan los intereses por el mes vencido?,procedimiento
928,120,¿Cómo tengo que pagar los intereses porque pagué fuera de término el monotributo?,procedimiento
929,120,"Tengo que pagar los intereses de la cuota del monotributo vencido, ¿Cómo lo hago?",procedimiento
930,120,¿De dónde saco el valor de los intereses por pago fuera de término?,procedimiento
931,120,¿Cómo obtengo los intereses por pago luego del vencimiento?,procedimiento
942,123,¿Cómo me adhiero al débito automático de mi cuenta bancaria?,procedimiento
943,123,¿Cómo puedo hacer para pagar el monotributo con débito automático?,procedimiento
944,123,¿Cómo gestiono el débito automático para el pago del monotributo?,procedimiento
946,123,¿Cómo es el trámite para adherirme al débito automático?,procedimiento
947,124,¿Cómo pago el monotributo con la tarjeta de crédito?,procedimiento
948,124,¿Cómo hago el trámite para adherirme al débito con tarjeta de crédito?,procedimiento
949,124,¿Cómo me adhiero al débito automático de mi tarjeta de crédito?,procedimiento
950,124,¿Cómo puedo pagar mensualmente con mi tarjeta de crédito?,procedimiento
1008,133,Si estoy adherido al Régimen de Inclusión Social y Promoción del Trabajo Independiente ¿Cómo puedo pagar anualmente?,procedimiento
1009,133,Si estoy adherido al Régimen de Inclusión Social y Promoción del Trabajo Independiente ¿Cómo es el pago anual que tengo que hacer?,procedimiento
1010,133,¿Cómo hacen el pago anual los adheridos al régimen de inclusión social y promoción del trabajo independiente?,procedimiento
1011,133,¿De qué forma deben realizar el pago anual las personas del Régimen de Inclusión Social y Promoción del Trabajo Independiente?,procedimiento
1012,133,¿Cómo tienen que hacer el pago del año los adheridos al régimen de inclusión social?,procedimiento
1013,133,"Las personas que están en el Régimen de Inclusión social y promoción del trabajo, ¿cómo deben realizar el pago anual?",procedimiento
1014,133,"Los que se inscribieron en el Régimen de Inclusión social y promoción del trabajo, ¿cómo deben realizar el pago anual?",procedimiento
1015,134,¿Cómo imprimo la credencial de pago?,procedimiento
1018,134,¿Cómo puedo volver a imprimir la credencial de pago?,procedimiento
1019,134,¿Cómo hago para re imprimir la credencial de pago?,procedimiento
1020,134,"Tengo que re-imprimir la credencial de pago, ¿cómo hago?",procedimiento
1021,134,"Necesito la credencial de pago, ¿Cómo la obtengo?",procedimiento
1022,134,¿Cómo reimprimo la credencial de pago?,procedimiento
1033,136,¿Cómo es el paso a paso para considerar el saldo de pagos imputados erróneamente?,procedimiento
1225,2,¿Cómo se tramita la baja del Monotributo?,procedimiento
1267,43,Pasos para adherirse mediante el portal de Monotributo.,procedimiento
1269,45,¿Cuáles son los pasos para inscribir a los condóminos como Monotributistas?,procedimiento
1270,46,¿Cómo se declara la actividad económica?,procedimiento
1278,54,¿Cómo se reimprime la credencial de pago?,procedimiento
1280,56,"¿Cómo se informa el cambio de condición de ""Responsable Inscripto"" a ""Monotributista"" (persona humana)?",procedimiento
1285,61,¿Cómo se realiza la baja de un integrante de la Obra Social?,procedimiento
1286,62,¿Cómo se realiza el cambio de actividad?,procedimiento
1287,63,¿Cómo se modifica la situación frente al Monotributo en caso de haber comenzado a trabajar en relación de dependencia?,procedimiento
1288,64,¿Cómo se modifica la situación frente al Monotributo en caso de haberse jubilado y continuar con la actividad?,procedimiento
1289,65,¿Cómo se modifica la situación frente al Monotributo en caso de realizar aportes obligatorios a una caja previsional provincial?,procedimiento
1290,66,¿Cómo se realiza el cambio de obra social?,procedimiento
1291,67,¿Cómo se agrega a un adherente a la obra social?,procedimiento
1292,68,¿Cómo se realiza el cambio de domicilio?,procedimiento
1293,69,"¿Cómo se debe proceder si pasados los 30 días de haber realizado el cambio del domicilio mediante el servicio ""Sistema Registral"", no se recibe el código de confirmación?",procedimiento
1294,70,¿Cómo se realiza la recategorización?,procedimiento
1303,79,¿Cuál es la sanción y el procedimiento a seguir en caso que la recategorización efectuada sea inexacta?,procedimiento
1311,87,¿Cómo proceder en caso de disconformidad con la recategorización de oficio?,procedimiento
1312,88,¿Qué se deberá considerar ante una recategorización por fiscalización presencial?,procedimiento
1339,114,¿Cuáles son los pasos para inscribir a los condóminos como Monotributistas?,procedimiento
1344,119,¿Cómo se deben ingresar los pagos de diferencias de monotributo?,procedimiento
1345,120,¿Cómo se deberá proceder para abonar los intereses generados por el pago fuera de término de la obligación mensual?,procedimiento
1348,123,¿Cómo se adhiere el pago del Monotributo al débito automático en la cuenta bancaria?,procedimiento
1349,124,¿Cómo se adhiere el pago del Monotributo al débito automático en la tarjeta de crédito?,procedimiento
1358,133,¿Cómo deben realizar el pago anual los sujetos adheridos al Régimen de Inclusión Social y Promoción del Trabajo Independiente?,procedimiento
1359,134,¿Cómo se reimprime la credencial de pago?,procedimiento
