,IUCA,Texto,Etiqueta
261,35,¿Puede un tercero generar mi CUIT?,si_no
262,35,¿La solicitud del CUIT es un trámite personal?,si_no
263,35,¿Es necesario que vaya el titular para sacar el CUIT?,si_no
264,35,¿Puede ir otra persona a sacarme el CUIT?,si_no
266,35,¿Para sacar el CUIT tengo que ir personalmente?,si_no
267,35,¿Para sacar el CUIT puede ir alguien más a sacármelo?,si_no
268,35,¿Tengo que ir yo necesariamente a hacer el trámite para obtener el CUIT?,si_no
269,35,¿Puede ir otra persona en mi nombre a hacer el trámite para obtener el CUIT?,si_no
280,37,¿Necesito llevar documentación personal para sacar mi CUIT?,si_no
281,37,¿Debo realizar algún trámite previo a la solicitud de CUIT de manera personal?,si_no
282,37,¿Es necesario concurrir con el DNI para la solicitud de CUIT de forma presencial?,si_no
283,37,"Para obtener el CUIT, ¿debo presentar algo?",si_no
285,37,¿Debo llevar algo más que mi DNI para tramitar el CUIT?,si_no
288,38,"Una sociedad, con o sin fines de lucro ¿Puede inscribirse en el monotributo?",si_no
289,38,¿Pueden adherirse al Monotributo las SA?,si_no
290,38,¿Pueden adherirse al Monotributo las SRL?,si_no
291,38,¿Cualquier tipo de sociedad se puede inscribir en el Monotributo?,si_no
292,38,¿Puedo anotar a una sociedad al monotributo?,si_no
293,38,"Si tengo una SA, ¿la puedo inscribir en el monotributo?",si_no
294,38,¿Puedo inscribir mi SRL al monotributo?,si_no
295,38,"¿Si una sociedad con fines de lucro quiere sumarse al monotributo, puede?",si_no
296,38,¿Es permitido que una sociedad se inscriba en el monotributo?,si_no
297,39,Si soy extranjero y no poseo DNI ¿Puedo inscribirme en el Monotributo?,si_no
299,39,¿El pasaporte es suficiente para inscribirme en el Monotributo en caso de ser extranjero?,si_no
300,39,¿Puedo inscribirme en el monotributo siendo extranjero?,si_no
302,39,"Soy extranjero, llevo viviendo mucho tiempo acá pero no tengo DNI, ¿puedo inscribirme en el monotributo?",si_no
305,39,¿Un extranjero puede solicitar el CUIT para monotributo?,si_no
306,39,¿Un extranjero puede solicitar el CUIT para monotributo si no tiene DNI?,si_no
307,39,¿Puede alguien nacido en el exterior solicitar el monotributo sin tener DNI?,si_no
308,40,¿Puedo ser Monotributista y a su vez ser sujeto IVA exento?,si_no
309,40,¿Existe un Monotributista que también esté exento en IVA?,si_no
310,40,Un sujeto IVA exento ¿Puede ser Monotributista?,si_no
311,40,¿Si soy monotributista puedo realizar otra actividad bajo la condición de IVA exento?,si_no
312,40,¿Un monotributista puede ser además IVA exento?,si_no
313,40,"Si quiero realizar una actividad IVA exento, ¿es necesario que no sea monotributista?",si_no
314,40,¿Es compatible ser un sujeto monotributista y al mismo tiempo un sujeto IVA exento?,si_no
315,40,¿Se puede tener un monotributo y ser IVA exento a la vez?,si_no
318,41,¿Es lo mismo domicilio fiscal que real?,si_no
320,41,¿Domicilio fiscal es el lugar donde vivo?,si_no
321,41,¿Domicilio fiscal es el lugar donde realizado mi actividad comercial?,si_no
323,41,¿Puede ser el domicilio fiscal igual que el domicilio real?,si_no
325,41,"Si no tengo lugar fijo para mi comercio, ¿puedo poner como domicilio fiscal el domicilio donde vivo?",si_no
326,41,¿Debo tener sí o sí un domicilio fiscal?,si_no
331,42,"Si mi local es alquilado, ¿debo presentar el contrato de alquiler para mostrar que será el domicilio fiscal?",si_no
334,42,¿Debo hacer algún trámite para demostrar mi domicilio fiscal cuando no es el lugar donde vivo?,si_no
340,43,¿La inscripción al Monotributo es online?,si_no
346,43,"¿Para ser monostributista, debo hacer una inscripción online?",si_no
348,44,¿Todo monotributista debe inscribirse en el domicilio fiscal electrónico?,si_no
349,44,¿Los monotributistas sociales deben adherirse al domicilio fiscal electrónico?,si_no
350,44,"Si soy monotributista, ¿sí o sí debo inscribirme al domicilio fiscal electrónico?",si_no
351,44,¿Es obligatorio para todo monotributista estar inscripto en el domicilio fiscal electrónico?,si_no
354,44,¿Existe algún tipo de monotributo que no tenga que estar adherido al domicilio fiscal electrónico?,si_no
359,45,¿Es posible que un condómino se inscriba en el monotributo?,si_no
372,47,¿Puede un condominio ser Monotributista?,si_no
373,47,¿Existe un tratamiento especial para los condominios?,si_no
374,47,¿Los condóminos pueden ser Monotributistas?,si_no
376,47,¿Los condominios pueden inscribirse en el monotributo?,si_no
378,47,¿Los condominios tienen un trato especial para adherirse al monotributo?,si_no
379,47,¿Se pueden adherir individualmente al monotributo cada condómino de un condominio?,si_no
380,47,¿Es compatible un condominio con el monotributo?,si_no
384,48,¿Todos los monotributistas deben realizar aportes de jubilación?,si_no
389,48,¿Debo seleccionar una opción para aportes de jubilación?,si_no
392,49,"¿Debo poner un ""cero"" en los parámetros cuando por mi actividad no debo tenerlos en cuenta?",si_no
398,49,"En los campos en los que no es necesario contestar, ¿debo poner algo?",si_no
401,50,¿Puedo inscribirme en el Monotributo retroactivamente?,si_no
403,50,¿Puedo inscribirme en el Monotributo hoy pero darle inicio el mes que viene?,si_no
405,50,¿Si me adhiero al monotributo ya soy monotributista?,si_no
407,50,¿Es posible hacer la inscripción al monotributo pero no empezar las actividades aún? ,si_no
408,50,"Una vez inscripto, ¿ya tiene efecto el monotributo?",si_no
410,51,¿Las sucesiones indivisas deben hacer aportes jubilatorios?,si_no
413,51,¿Deben abonar algo las sucesiones indivisas que son monotributistas?,si_no
414,51,¿Las sucesiones indivisas monotributistas deben abonar algo más que el componente impositivo?,si_no
419,52,¿Puedo inscribirme online en caso de ser asociado a Cooperativa de Trabajo?,si_no
421,52,"Siendo asociado a cooperativas de trabajo, ¿me puedo inscribir a un monotributo?",si_no
422,52,¿Un asociado a cooperativas de trabajo puede adherirse al monotributo?,si_no
424,52,¿Me puedo dar de alta al monotributo estando asociado a una cooperativa de trabajo?,si_no
426,53,¿El mismo mes en que me inscribo debo pagar?,si_no
427,53,¿Debo pagar el monotributo el día en que me doy de alta?,si_no
431,53,¿Debo pagar en el primer mes de haber iniciado las actividades del monotributo?,si_no
435,54,¿Puedo obtener la credencial de pago en la página de AFIP?,si_no
439,54,¿Puedo descargar la credencial de pago?,si_no
441,54,¿puedo obtener mi credencial de pago con una clave fiscal de cualquier nivel?,si_no
442,55,¿Código único de revista es lo mismo que CUR?,si_no
445,55,¿El CUR es igual para todos los Monotributistas?,si_no
450,55,¿Se puede cambiar el código CUR?,si_no
456,56,¿Debo dar de baja al impuesto a las ganancias si me transfiero de responsable inscripto a monotributista?,si_no
462,57,Como Monotribustita ¿Puedo utilizar el saldo a favor que tenía de cuando era Responsable Inscripto?,si_no
464,57,¿Se me puede devolver el saldo a favor de retenciones que tenía siendo responsable inscripto y ahora monotributista?,si_no
465,57,¿Se pierde el saldo a favor que tengo como responsable inscripto una vez me cambie al monotributo?,si_no
472,58,¿En la parte de monotributo puedo cambiar mi dirección fiscal?,si_no
474,58,¿Puedo obtener algunos comprobantes electrónicos en la parte de monotributo?,si_no
475,58,¿Puedo darme alta como empleador en la parte de monotributo?,si_no
476,59,¿Puedo ser Monotributista si obtengo ingresos por locación de inmuebles en el exterior?,si_no
477,59,Los monotributistas adheridos por locación de inmuebles ¿Deben serlo por inmuebles situados en Argentina solamente?,si_no
478,59,¿Debo cumplir con algún requisito específico para ser Monotributista con ingresos por locación de inmuebles situadios en el exterior?,si_no
479,59,"Si tengo inmuebles alquilados en el exterior, ¿puedo ser monotributista con esos ingresos?",si_no
480,59,"Si una persona tiene como ingreso el alquiler de inmuebles en el exterior, ¿puede inscribirse en el monotributo?",si_no
481,59,¿Puede una persona adherirse al monotributo si su ingreso depende del alquiler de inmuebles fuera de Argentina?,si_no
482,59,"Un propietario de inmuebles en el exterior cuyo ingreso depende del alquiler de los mismos, ¿puede ser monotributista?",si_no
483,59,"Si vivo en Argentina pero tengo como ingreso el alquiler de una propiedad en el exterior, ¿puedo inscribirme en el monotributo?",si_no
486,60,Si realizo algunos cambios en el Monotributo ¿Cambia también la credencial de pago?,si_no
488,60,"Si cambio de obra social, ¿se necesitará cambiar la credencial de pago?",si_no
491,60,¿La sustitución de la credencial de pago puede estar relacionada con las modificaciones en el CUR?,si_no
494,61,¿Puedo dar de baja a una persona de la Obra Social desde Mi Monotributo?,si_no
495,61,¿Puedo modificar datos de mis adherentes de la Obra Social desde la web de AFIP?,si_no
502,62,Si cambio mi actividad ¿Tengo que informarle a AFIP?,si_no
506,62,¿Debo informar cada vez que cambio de actividad?,si_no
510,63,Si comencé a ser empleado en relación de dependencia ¿Debo informarlo en mi Monotributo?,si_no
511,63,Si inicié una relación de dependencia ¿Debe realizar algún trámite mi empleador?,si_no
514,63,¿Debo modificar los datos de mi monotributo si comencé a trabajar en relación de dependencia?,si_no
516,63,¿Un monotributista debe cambiar de situación si ahora es empleado en relación de dependencia?,si_no
517,63,"Si tengo un monotributo, debo modificar los datos si quiero iniciar una relación de dependencia?",si_no
518,64,Si me jubilo y sigo con mi actividad ¿Debo informarlo en Mi Monotributo?,si_no
519,64,¿Cambia algo en mi Monotributo si me jubilo?,si_no
524,64,"Si una persona se jubila pero aún continúa con la actividad, ¿Debe cambiar algo en su monotributo?",si_no
527,65,¿Influye en mi monotributo si comienzo a aportar a una caja previsional provincial?,si_no
529,65,¿Debo modificar mi monotributo en caso de hacer aportes a una caja previsional de la provincia?,si_no
530,65,"Si empiezo a aportar en una caja previsional provincial, ¿tengo que informarlo en el monotributo?",si_no
535,66,¿Puedo hacer el cambio de obra social de manera online?,si_no
541,66,Para cambiar de obra social ¿una persona monotributista puede hacerlo desde la web?,si_no
542,67,¿Puedo agregar a un adherente a la obra social en cualquier momento?,si_no
544,67,¿Puedo incorporar un adherente a la obra social desde la web de AFIP?,si_no
548,67,¿Puedo incorporar gente a mi obra social?,si_no
553,68,¿Debo presentar algún formulario para notificar un cambio de domicilio?,si_no
560,69,¿Puedo volver a informar el cambio de domicilio si aún no recibí el código de confirmación?,si_no
561,69,¿El cambio de domicilio está concluido por más que no haya recibido un código de confirmación?,si_no
570,70,¿La recategorización se puede hacer de manera online?,si_no
577,71,¿Es obligatoria la recategorización?,si_no
578,71,¿Siempre debo recategorizarme?,si_no
585,72,¿Me puedo recategorizar cuando quiero?,si_no
594,73,¿Debo pasar a ser Responsable Inscripto si mi facturación de mi primer semetre de actividad supera el límite impuesto para la categoría más alta del Monotributo?,si_no
595,73,¿Puedo quedar excluido del Monotributo por superar los ingresos máximos establecidos por más que lleve menos un año como inscripto?,si_no
596,73,"Para el caso que transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿corresponde la inscripción en el Régimen General?",si_no
597,73,"¿Se puede inscribir en el Régimen General, si pasados un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima?",si_no
598,73,"Si pasados un semestre desde la inscripción y al anualizar  los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿Se permite la inscripción en el régimen general?",si_no
599,73,"En el caso que luego de 6 meses desde la inscripción y al anualizar los ingresos brutos para la recategorización, se pasa del límite de la categoría máxima, ¿Se puede inscribir en el régimen general?",si_no
600,73,"¿Le corresponde la inscripción en el Régimen General, para el caso que transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se sobrepasó el límite de la categoría máxima?",si_no
618,76,¿Debo recategorizarme si aún no fui Monotributista por más de 12 meses?,si_no
632,78,¿Es obligatoria la recategorización?,si_no
633,78,¿Todos los monotributistas deben recategorizarse?,si_no
642,79,¿Tengo que pagar una sanción si me recategoricé mal?,si_no
656,81,Pasar de Monotributo a Monotributo del Régimen de Inclusión social y promoción del trabajo independiente ¿Es recategorizarse?,si_no
658,81,"Para el caso de modificación de la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa, ¿Es una recategorización?",si_no
659,81,"¿Es recategorización, si se altera la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa?",si_no
660,81,"¿Se considera recategorización, si se modifica la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa?",si_no
661,81,"En el caso de cambio de la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa, ¿Se considera recategorización?",si_no
662,81,"Si se tiene el caso de cambio de la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa, ¿Se tiene recategorización?",si_no
664,82,¿AFIP me puede recategorizar?,si_no
665,82,¿Recategorización de oficio significa que AFIP me recategoriza?,si_no
666,82,Si hice mal mi recategorización ¿Puede AFIP volver a recategorizarme?,si_no
673,83,¿En la recategorización de oficio se tienen en cuenta todos los parámentros por más que no correspondan a mi actividad?,si_no
689,85,¿Tengo acceso a las causales de la recategorización de oficio?,si_no
690,85,¿AFIP me informa cuáles fueron las causas que provocaron mi recategorización de oficio?,si_no
704,87,¿Puedo hacer un reclamo ante una recategorización de oficio?,si_no
705,87,¿Debo aceptar si o si la recategorización de oficio?,si_no
721,89,¿Existe el recurso de apelación para aplicar en una exclusión o recategorización de oficio?,si_no
722,89,"¿Puedo recurrir a algún recurso legal en caso de disconformidad con la exclusión del Monotributo o recategorización de oficio, luego de una fiscalización?",si_no
723,89,¿Es posible interponer un recurso contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?,si_no
724,89,"En caso  de resoluciones de exclusión o recategorización de oficio resultado de una fiscalización, ¿ Se puede interponer un recurso en su contra?",si_no
725,89,Para el caso de  resoluciones de exclusión o recategorización de oficio resultado de una fiscalización ¿Existe un recurso contra estas resoluciones?,si_no
726,89,¿Existe un recurso para presentar contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?,si_no
727,89,¿Habrá algún recurso para presentar contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?,si_no
728,90,¿Todas las personas pueden ser Monotributistas?,si_no
729,90,¿Sólo las personas humanas se pueden inscribir en el Monotributo?,si_no
738,91,¿Debo cumplir con ciertos requisitos para ser Monotributista?,si_no
751,92,¿Existen  actividades que no están contempladas del monotributo?,si_no
752,93,¿Puedo importar y ser Monotributista?,si_no
753,93,"¿Hay alguna limitación respecto de importar, siendo Monotributista?",si_no
755,93,¿Se puede adherir al Monotributo cuando se realizan importaciones?,si_no
756,93,¿Cuando se realizan importaciones es posible adherirse al Monotributo?,si_no
757,93,¿Se puede adherir al Monotributo cuando se lleven a cabo  importaciones?,si_no
758,93,"En caso de importaciones, ¿se puede incorporarse al Monotributo?",si_no
759,93,"En caso de importaciones, ¿se puede darse de alta al Monotributo?",si_no
760,94,¿Puedo exportar y ser Monotributista?,si_no
761,94,"¿Hay alguna limitación respecto de exportar, siendo Monotributista?",si_no
763,94,¿Se pueden llevar a cabo exportaciones siendo monotributista?,si_no
764,94,¿Es posible realizar exportaciones siendo monotributista?,si_no
765,94,¿Puede darse el caso que  un monotributista  realice exportaciones ?,si_no
766,94,¿Puede  un monotributista  llevar a cabo exportaciones ?,si_no
768,95,¿Puedo ser Monotributista por una actividad e IVA exento por otra?,si_no
769,95,¿Un sujeto IVA exento puede ser Monotributista?,si_no
770,95,¿Hay alguna limitación para que un sujeto IVA exento se inscriba en el Monotributo por una actividad diferente?,si_no
771,95,Una persona adherida al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?,si_no
772,95,Un  monotributista inscripto por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?,si_no
773,95,¿Es posible para un monotributista adherido por una actividad realizar otra actividad  bajo la condición de IVA Exento?,si_no
774,95,¿Puede un sujeto adherido al Monotributo por una actividad llevar a cabo otra actividad bajo la condición de IVA Exento?,si_no
775,95,¿Es permitido bajo la condición de IVA Exento que una persona adherida al Monotributo por una actividad realice otra actividad?,si_no
776,96,¿Tanto empleados como empleadores pueden ser Monotributistas?,si_no
777,96,"¿Hay alguna limitación respecto de ser Monotributista y a su vez, tener empleados a cargo?",si_no
778,96,Si soy Monotributista ¿Puedo ser solamente empleado o también empleador?,si_no
779,96,¿Es posible  ser empleador siendo monotributista?,si_no
780,96,¿Se puede dar el caso de ser  empleador siendo monotributista?,si_no
781,96,¿Puede un empleador ser monotributista?,si_no
782,96,¿Es posible  para un monotributista ser empleador ?,si_no
783,96,¿Puede un sujeto cumplir el rol de empleador  y   monotributista?,si_no
784,97,En caso de realizar una actividad por única vez ¿Debo inscribirme en el Monotributo?,si_no
785,97,¿Puedo ser Monotributista por un mes?,si_no
786,97,¿Las actividades por las que me inscriba en el Monotributo debo realizarlas frecuentemente?,si_no
788,97,¿Es posible adherirse al Monotributo en caso de realizarse una actividad por única vez?,si_no
789,97,¿Es posible adherirse al Monotributo en caso de realizarse una actividad por única vez y luego de un tiempo mínimo de permanencia realizar la baja del mismo?,si_no
790,97,"En el caso de una persona que realiza una actividad por única vez, ¿Se puede adherir al Monotributo?",si_no
792,97,"En el caso de una persona que realiza una actividad temporaria, ¿Es posible que se pueda adherirse al Monotributo?",si_no
794,97,¿Está permitido a una persona que realiza una actividad por única vez adherirse al Monotributo?,si_no
796,97,"Si se tiene el caso de una persona que realiza una actividad temporaria, ¿Está permitido que se pueda adherirse al Monotributo?",si_no
798,98,¿Puedo ser extranjero y Monotributista?,si_no
800,98,¿Debo tener nacionalidad argentina para darme de alta en el Monotributo?,si_no
801,98,"Una persona extranjera que realiza una actividad en nuestro país, ¿puede inscribirse como monotributista a través de su apoderado?",si_no
802,98,"Un sujeto residente en el exterior con actividad en nuestro país, ¿Se permite que su apoderado lo inscriba como monotributista?",si_no
803,98,"¿Es posible  que un extranjero, que lleva a cabo una actividad en Argentina, pueda inscribirse como monotributista por medio de su apoderado?",si_no
804,98,"Un extranjero que desarrolla una actividad en Argentina, ¿Se puede inscribirse como monotributista a través de su apoderado?",si_no
805,98,"¿Se permite que el apoderado de un extranjero, que lleva a cabo una actividad en nuestra nación, pueda inscribirlo como monotributista?",si_no
806,99,"¿Puedo ser empleado en relación de dependencia y a su vez, adherirme al monotributo por otra actividad?",si_no
807,99,Si soy Monotributista ¿Puedo iniciar una relación de dependencia?,si_no
808,99,¿Es excluyente ser monotributisa y empleado en relación de dependencia?,si_no
809,99,Si soy empleado en relación de dependencia ¿Mi actividad por la que me doy de alta en el monotributo debe estar relacionada?,si_no
810,99,"¿Es posible para un empleado en relación de dependencia, que se pueda adherir al monotributo por una actividad independiente?",si_no
811,99,"Para el caso de un trabajador en relación de dependencia y que realiza otra actividad independiente, ¿Se puede adherirse al monotributo?",si_no
812,99,"Si un empleado en relación de dependencia, lleva a cabo otra actividad independiente, ¿Es posible adherirse al monotributo?",si_no
